name,street,postcode,city,latitude,longitude,profiles
NAC Arkkitehdit Oy,Vaasanpuistikko 18,65100,Vaasa,63.0949466,21.6178005,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/NAC+Arkkitehdit+Oy/Vaasa/yhteystiedot/213250
Arkkitehtitoimisto Ark'Aboa Oy,Nahkurinkatu 8,20100,Turku,60.4548367,22.271980494209835,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Ark+Aboa+Oy/Turku/yhteystiedot/203234
Arkkitehtitoimisto HKP,Bulevardi 44 ,4.,"krs, 00120 Helsinki",60.161804,24.9313581,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+HKP/Helsinki/yhteystiedot/125718
Arkkitehtitoimisto Planssi Oy,Hakuntie 6,45610,Koria,60.850696150000005,26.605078349914876,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Planssi+Oy/Koria/yhteystiedot/2478054
Arkkitehtitoimisto A-Konsultit Oy,Ratakatu 19,00120,Helsinki,65.008393,25.4834348,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+A-Konsultit+Oy/Helsinki/yhteystiedot/125652
Oopeaa,Kauppakatu 19 A,60100,Seinäjoki,62.8915795,27.6773627,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Oopeaa/Sein%C3%A4joki/yhteystiedot/861726
P&R Arkkitehdit Oy,Veturikuja 7,01300,Vantaa,60.29806315,25.04434007285181,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/P%26R+Arkkitehdit+Oy/Vantaa/yhteystiedot/330023
Insinööritoimisto Tilatek Oy,Ruokojärvenkatu 7,38700,Kankaanpää,61.8010461,22.3957406,https://www.finder.fi/Insin%C3%B6%C3%B6ritoimisto+suunnittelutoimisto/Insin%C3%B6%C3%B6ritoimisto+Tilatek+Oy/Kankaanp%C3%A4%C3%A4/yhteystiedot/140200
Jaakkola Arkkitehdit,Tallbergin puistotie 1,00200,Helsinki,60.1578965,24.8806749,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Jaakkola+Arkkitehdit/Helsinki/yhteystiedot/125703
Arkkitehtimo Oy,Gallen-Kallelankatu 8,28100,Pori,61.4868082,21.7944786,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtimo+Oy/Pori/yhteystiedot/2804535
Insinööritoimisto Oikarainen Oy,Torangintaival 1,93600,Kuusamo,65.9429728,29.2167875,https://www.finder.fi/Insin%C3%B6%C3%B6ritoimisto+suunnittelutoimisto/Insin%C3%B6%C3%B6ritoimisto+Oikarainen+Oy/Kuusamo/yhteystiedot/228304
ARK Vahtera Oy,Pitkämäenkatu 11 A,20250,Turku,60.4588951,22.2353325,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/ARK+Vahtera+Oy/Turku/yhteystiedot/125799
Lukkaroinen Arkkitehdit Oy,Kauppurienkatu 12,90100,Oulu,65.0119071,25.4692134,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Lukkaroinen+Arkkitehdit+Oy/Oulu/yhteystiedot/2864663
Jeskanen-Repo-Teränne Arkkitehdit Oy,Pursimiehenkatu 29-31 B,00150,Helsinki,60.1585667,24.9334431,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Jeskanen-Repo-Ter%C3%A4nne+Arkkitehdit+Oy/Helsinki/yhteystiedot/125831
VPL Arkkitehdit Oy,Pursimiehenkatu 29-31 B,00150,Helsinki,60.1585667,24.9334431,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/VPL+Arkkitehdit+Oy/Helsinki/yhteystiedot/232280
Arkkitehtitoimisto Lasse Kosunen Oy,Aleksis Kiven katu 11 B,33100,Tampere,60.1956262,24.9365386,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Lasse+Kosunen+Oy/Tampere/yhteystiedot/116544
Arkkitehtitoimisto Päivi Vuori,Mikkolankuja 30,31700,Urjala as,60.9562395,24.4963507,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+P%C3%A4ivi+Vuori/Urjala+as/yhteystiedot/116923
Arkkitehtitoimisto Virkkunen & Co,Tallberginkatu 9,00180,Helsinki,60.1637707,24.9028851,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Virkkunen+%26+Co/Helsinki/yhteystiedot/125876
Insinööri- ja arkkitehtitoimisto Oy Palola & Piispanen,Elektroniikkatie 3,90590,Oulu,65.0584849,25.4399524,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Insin%C3%B6%C3%B6ri-+ja+arkkitehtitoimisto+Oy+Palola+%26+Piispanen/Oulu/yhteystiedot/1703310
Polyplan Oy Ab,Raastuvankatu 18 B,65100,Vaasa,63.0957081,21.6126092,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Polyplan+Oy+Ab/Vaasa/yhteystiedot/164327
Arkkitehtitoimisto Arto Mattila Oy,Sepänkatu 9,70100,Kuopio,60.1590987,24.939235,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Arto+Mattila+Oy/Kuopio/yhteystiedot/3069069
Arkitekttjänst Johan Ångerman,Frilundsvägen 2,65170,Vasa,63.0923616,21.5598722,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkitekttj%C3%A4nst+Johan+%C3%85ngerman/Vasa/yhteystiedot/899059
Arkkitehtitoimisto H&M Arkkitehdit,Rautatienkatu 19 A,15110,Lahti,64.9986662,25.4640083,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+H%26M+Arkkitehdit/Lahti/yhteystiedot/352683
Arkkitehtitoimisto Hannu,Kalevalankatu 11 A,32200,Loimaa,62.9004302,27.7126298,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Hannu/Loimaa/yhteystiedot/872923
Arkkitehtitoimisto Huvila Oy,Sturenkatu 4,00510,Helsinki,60.1955069,24.9591344,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Huvila+Oy/Helsinki/yhteystiedot/901202
